hash,time
_01r9,2.460657808295919e-05
_01ro,3.5916055951799664e-05
_01rD,2.9061604472039973e-05
_01rS,3.220958094443044e-05
_01s6,2.9286727529441195e-05
_01sl,3.983467582642563e-05
_01sA,3.070464501014123e-05
_01sP,3.487981598952721e-05
_01t3,4.9081005033899526e-05
_01ti,3.0489600434595224e-05
_01tx,3.8486260634202226e-05
_01tM,3.144379061554115e-05
_01u0,3.590583801269531e-05
_01uf,3.8279831864451635e-05
_01uu,4.0705611066120424e-05
_01uJ,3.216459944441512e-05
_01uY,3.339449564615885e-05
_01vc,4.322916014581664e-05
_01vr,2.306946961011755e-05
_01vG,2.9695735258214613e-05
_01vV,4.858340857163915e-05
_01w9,2.8131153661880135e-05
_01wo,3.956058832604115e-05
_01wD,2.8919200507961975e-05
_01wS,2.7238026909206223e-05
_01x6,3.06018098385748e-05
_01xl,3.193406497730928e-05
_01xA,3.903180780545087e-05
_01xP,3.5730430058070595e-05
_01y3,3.749579191207886e-05
_01yi,3.361541952862836e-05
_01yx,3.8389976208026594e-05
_01yM,3.360496478134327e-05
_01z0,3.7017549787248884e-05
_01zf,3.1463848137707445e-05
_01zu,3.5121327354794454e-05
_01zJ,3.351948478005149e-05
_01zY,3.6489672777129386e-05
_01Ac,3.602521882640372e-05
_01Ar,3.255652142809583e-05
_01AG,3.0139842665339092e-05
_01AV,3.824525207053614e-05
_01B9,3.7476420402526855e-05
_01Bo,3.583884678003978e-05
_01BD,3.591496893700133e-05
_01BS,6.150908586455555e-05
_01C6,3.2254444655551705e-05
_01Cl,2.9617512719871023e-05
_01CA,4.00390625e-05
_01CP,4.5744148460594385e-05
_01D3,3.373542888052512e-05
_01Di,3.242948252683992e-05
_01Dx,3.419058663504464e-05
_01DM,3.839932478867568e-05
_01E0,3.5642158417474656e-05
_01Ef,3.23637937888121e-05
_01Eu,3.7497282028198244e-05
_01EJ,3.627198083060128e-05
_01EY,2.4972008723838655e-05
_01Fc,3.794287190292821e-05
_01Fr,3.896440778459821e-05
_01FG,2.697206312610257e-05
_01FV,3.948737317182886e-05
_01G9,4.081997444959191e-05
_01Go,2.852962130591983e-05
_01GD,3.655635527450673e-05
_01GS,3.603567560035062e-05
_01H6,2.5408950882341394e-05
_01Hl,2.760931094121274e-05
_01HA,2.7377748749946636e-05
_01HP,2.5269351428068136e-05
_01I3,4.1463158347389914e-05
_01Ii,2.570784821802256e-05
_01Ix,4.158335283768078e-05
_01IM,3.740787506103516e-05
_01J0,3.0925154020000434e-05
_01Jf,3.335793813069661e-05
_01Ju,4.486526761736188e-05
_01JJ,4.635696057920103e-05
_01JY,2.872603280203683e-05
_01Kc,3.510255080003005e-05
_01Kr,2.5327843014556582e-05
_01KG,4.2081880970161505e-05
_01KV,4.5557455583052204e-05
_01L9,3.1927096768745084e-05
_01Lo,4.5119105158625425e-05
_01LD,4.5772727209193106e-05
_01LS,3.7470703604836136e-05
_01M6,3.1560492915148174e-05
_01Ml,4.0529235716789e-05
_01MA,2.613781832388319e-05
_01MP,3.0397763712152008e-05
_01N3,4.276165292282735e-05
_01Ni,4.791450500488281e-05
_01Nx,4.7901698521205356e-05
_01NM,3.577300480433873e-05
_01O0,4.0445778820965744e-05
_01Of,3.602432482170336e-05
_01Ou,4.2672918624236806e-05
_01OJ,3.8466519779629176e-05
_01OY,4.3402198983841586e-05
_01Pc,4.2793078300280446e-05
_01Pr,3.783343589469178e-05
_01PG,3.58507142844775e-05
_01PV,3.3827151282358975e-05
_01Q9,3.1393860023059146e-05
_01Qo,1.9608551126108705e-05
_01QD,3.973221936762728e-05
_01QS,3.7064375700774015e-05
_01R6,3.471630531669463e-05
_01Rl,5.179081323011866e-05
_01RA,3.761994211297286e-05
_01RP,7.249998009723166e-05
_01S3,3.8821567860684656e-05
_01Si,3.786793461552373e-05
_01Sx,3.388641917772886e-05
_01SM,3.760201590401786e-05
_01T0,4.018006259447908e-05
_01Tf,4.0019989013671874e-05
_01Tu,2.9107899341768433e-05
_01TJ,4.3157488107681274e-05
_01TY,4.6361375738073276e-05
_01Uc,2.9298604703417012e-05
_01Ur,4.3792309968367864e-05
_01UG,3.9992332458496096e-05
_01UV,3.868204946736343e-05
_01V9,3.128140060989945e-05
_01Vo,4.411094328936408e-05
_01VD,3.570246409220868e-05
_01VS,3.6723371865092844e-05
_01W6,4.206308678014955e-05
_01Wl,3.5448187201686156e-05
_01WA,3.0182114797620916e-05
_01WP,4.110179963659068e-05
_01X3,4.600414208003453e-05
_01Xi,2.5723530695988583e-05
_01Xx,3.198943386188132e-05
_01XM,4.61121400197347e-05
_01Y0,3.6248262377752774e-05
_01Yf,3.856328817514273e-05
_01Yu,3.8784994205958405e-05
_01YJ,3.7428158432690064e-05
_01YY,3.170588659861731e-05
_01Zc,3.567715765724719e-05
_01Zr,3.154575824737549e-05
_01ZG,3.847342271071214e-05
_01ZV,3.373216498981822e-05
_01_9,2.79642350180855e-05
_01_o,2.5725671661769885e-05
_01_D,3.461478507682069e-05
_01_S,3.311334066833092e-05
_0206,3.3778070614037926e-05
_020l,3.4541097180596713e-05
_020A,4.866979654552867e-05
_020P,2.8114640310908972e-05
_0213,4.322158879247205e-05
_021i,4.8555646623883925e-05
_021x,2.581469490804386e-05
_021M,3.5101791908001076e-05
_0220,4.2458211094879904e-05
_022f,4.808719341571514e-05
_022u,5.4476053818412446e-05
_022J,4.006767272949219e-05
_022Y,4.629735593442564e-05
_023c,4.4354295308611036e-05
_023r,2.614483562619405e-05
_023G,3.390504209787253e-05
_023V,4.5174457987800975e-05
_0249,6.00886344909668e-05
_024o,4.006385803222656e-05
_024D,3.378455703322952e-05
_024S,3.650548646775939e-05
_0256,3.429522385468354e-05
_025l,3.001789846820032e-05
_025A,7.154600960867746e-05
_025P,3.1636505530624794e-05
_0263,3.668394955721769e-05
_026i,5.504325195983216e-05
_026x,3.239915177628801e-05
_026M,3.536931284657725e-05
_0270,3.7634814227068865e-05
_027f,3.963150084018707e-05
_027u,3.074283248807755e-05
_027J,3.7373001895733736e-05
_027Y,2.9349049856496413e-05
_028c,4.812387319711538e-05
_028r,4.103144661324923e-05
_028G,3.987034474770854e-05
_028V,4.042733100152785e-05
_0299,2.9265008321622524e-05
_029o,4.196833897303868e-05
_029D,3.191012485771422e-05
_029S,3.7497282028198244e-05
_02a6,4.131159336446858e-05
_02al,4.791986374627976e-05
_02aA,3.880612990435432e-05
_02aP,3.4014383951822914e-05
_02b3,3.332649635163364e-05
_02bi,3.7059077510127316e-05
_02bx,3.0006882707042806e-05
_02bM,4.1715304056803386e-05
_02c0,3.0799345536665484e-05
_02cf,3.354869237760218e-05
_02cu,3.901811746450571e-05
_02cJ,4.4042573255651135e-05
_02cY,4.752098567902096e-05
_02dc,3.888545098242822e-05
_02dr,3.820467906393063e-05
_02dG,4.7236118676527494e-05
_02dV,2.931722319952332e-05
_02e9,4.8745938432895074e-05
_02eo,3.288473401750837e-05
_02eD,3.854595884984853e-05
_02eS,4.83624396785613e-05
_02f6,4.1370469380200396e-05
_02fl,4.002026149204799e-05
_02fA,2.3983311995364833e-05
_02fP,3.807347519953448e-05
_02g3,3.331502278645833e-05
_02gi,4.7287851009728774e-05
_02gx,3.892260712462586e-05
_02gM,4.04311764624811e-05
_02h0,4.818577032822829e-05
_02hf,3.978373512389168e-05
_02hu,3.572361809866769e-05
_02hJ,4.178484280904134e-05
_02hY,3.590386294754299e-05
_02ic,6.10206185317621e-05
_02ir,4.608847878196023e-05
_02iG,3.745910283681509e-05
_02iV,3.909692168235779e-05
_02j9,4.2267640431722005e-05
_02jo,4.135872706894047e-05
_02jD,4.0471553802490234e-05
_02jS,3.667326941006426e-05
_02k6,3.924480704374092e-05
_02kl,4.132720064525762e-05
_02kA,3.371184522455389e-05
_02kP,3.840194808112251e-05
_02l3,3.0009704228688978e-05
_02li,4.9619391413018256e-05
_02lx,3.8939853047215664e-05
_02lM,2.896152256767531e-05
_02m0,4.319281413637359e-05
_02mf,4.0688165804234946e-05
_02mu,3.89557618361253e-05
_02mJ,2.9272503323025172e-05
_02mY,3.2922154978701944e-05
_02nc,3.808423092490748e-05
_02nr,4.9614670253036045e-05
_02nG,3.5483456222263315e-05
_02nV,4.154394480807722e-05
_02o9,4.471930782351873e-05
_02oo,3.581520513439855e-05
_02oD,3.881971965464511e-05
_02oS,4.024989902973175e-05
_02p6,4.605379971590909e-05
_02pl,3.937880198160807e-05
_02pA,3.50837819060387e-05
_02pP,3.980276152843566e-05
_02q3,3.793571568742583e-05
_02qi,3.7439167499542236e-05
_02qx,4.275028522198017e-05
_02qM,3.852294041560246e-05
_02r0,3.8970433748685394e-05
_02rf,3.269103265577747e-05
_02ru,3.2745934779347934e-05
_02rJ,4.34025474216627e-05
_02rY,3.6096289044334774e-05
_02sc,4.2339166005452476e-05
_02sr,3.3345222473144535e-05
_02sG,3.335608376397027e-05
_02sV,3.821530919166127e-05
_02t9,2.9300519933251185e-05
_02to,2.6635064019097222e-05
_02tD,3.0750145941424224e-05
_02tS,3.1733662827209856e-05
_02u6,3.414666092635801e-05
_02ul,3.491598984290813e-05
_02uA,4.0346576321509575e-05
_02uP,3.5824094499860493e-05
_02v3,3.694752116262177e-05
_02vi,3.3849623145126713e-05
_02vx,4.1113525140480916e-05
_02vM,3.2169384192366624e-05
_02w0,4.548159512606534e-05
_02wf,6.470619103847406e-05
_02wu,5.639394124348958e-05
_02wJ,3.388507218010681e-05
_02wY,4.038887639199534e-05
_02xc,4.613071406653168e-05
_02xr,4.235506057739258e-05
_02xG,3.8873065601695665e-05
_02xV,4.252643449932125e-05
_02y9,4.236499468485514e-05
_02yo,4.916112931048284e-05
_02yD,4.979372024536133e-05
_02yS,3.8554118229792666e-05
_02z6,4.098649884833664e-05
_02zl,5.501443213158912e-05
_02zA,4.0832059136752425e-05
_02zP,4.722487251713591e-05
_02A3,3.312832742764805e-05
_02Ai,4.126943390944908e-05
_02Ax,4.47439295904977e-05
_02AM,4.4765757091009794e-05
_02B0,4.353523254394531e-05
_02Bf,4.426567955354674e-05
_02Bu,3.6117542220885494e-05
_02BJ,5.504325195983216e-05
_02BY,4.407606626811781e-05
_02Cc,4.384813517549612e-05
_02Cr,4.2458712044408765e-05
_02CG,4.368035689644191e-05
_02CV,3.785339754019211e-05
_02D9,3.590840779378742e-05
_02Do,4.3114026387532554e-05
_02DD,4.6857049532025775e-05
_02DS,4.4491438739067685e-05
_02E6,3.944415795175653e-05
_02El,6.103806379364758e-05
_02EA,4.035329061841208e-05
_02EP,4.064559936523437e-05
_02F3,4.913196090824348e-05
_02Fi,3.60572194478598e-05
_02Fx,4.243042509434587e-05
_02FM,3.479768152106298e-05
_02G0,3.0325398300633285e-05
_02Gf,5.438535109810207e-05
_02Gu,3.499873200355217e-05
_02GJ,2.353246821913608e-05
_02GY,3.4704440977515244e-05
_02Hc,4.299654476884483e-05
_02Hr,4.1590796576605906e-05
_02HG,4.659442726625215e-05
_02HV,3.911927342414856e-05
_02I9,6.956524319118923e-05
_02Io,3.31573064814615e-05
_02ID,4.474818706512451e-05
_02IS,4.5955727953429615e-05
_02J6,6.467782998386818e-05
_02Jl,5.0568821454288984e-05
_02JA,3.9380043745040894e-05
_02JP,3.5042762756347654e-05
_02K3,2.8704912468577115e-05
_02Ki,4.239877065022787e-05
_02Kx,3.0332141452365453e-05
_02KM,4.23590342203776e-05
_02L0,3.7614654445048395e-05
_02Lf,5.6590674058446346e-05
_02Lu,3.2825347704765125e-05
_02LJ,4.132720064525762e-05
_02LY,4.629735593442564e-05
_02Mc,4.198137393667678e-05
_02Mr,3.505586744188429e-05
_02MG,4.02210475681545e-05
_02MV,4.4726092239906046e-05
_02N9,3.652949984982717e-05
_02No,4.006398690713419e-05
_02ND,3.8008780995751644e-05
_02NS,4.014936653343407e-05
_02O6,4.874742948091947e-05
_02Ol,3.572021211896624e-05
_02OA,4.393914166618796e-05
_02OP,4.512984473426063e-05
_02P3,4.823162005497859e-05
_02Pi,3.330933981101606e-05
_02Px,3.119626659557132e-05
_02PM,2.9089822934542087e-05
_02Q0,3.605260106617819e-05
_02Qf,4.242234310861361e-05
_02Qu,3.282054440005795e-05
_02QJ,4.643526944247159e-05
_02QY,3.66155248488823e-05
_02Rc,5.893426782944623e-05
_02Rr,3.6435161563132304e-05
_02RG,4.583650881105715e-05
_02RV,4.4976110043733014e-05
_02S9,4.1774908701578776e-05
_02So,3.4188631898868156e-05
_02SD,4.509158600541882e-05
_02SS,4.077768650184683e-05
_02T6,2.6642330109126984e-05
_02Tl,3.465062621011899e-05
_02TA,4.508979338452332e-05
_02TP,4.081415936229675e-05
_02U3,3.3938952084988525e-05
_02Ui,3.304920698467054e-05
_02Ux,3.239222935267857e-05
_02UM,4.01611328125e-05
_02V0,3.4284918275597975e-05
_02Vf,3.5730885787748955e-05
_02Vu,2.9673670778180114e-05
_02VJ,2.8010209401448568e-05
_02VY,3.783204662266062e-05
_02Wc,4.6105818314985794e-05
_02Wr,4.220344650913292e-05
_02WG,5.270807366622122e-05
_02WV,3.7492811679840087e-05
_02X9,4.1874249776204425e-05
_02Xo,4.3690633430755395e-05
_02XD,4.324407288522431e-05
_02XS,3.777675747130969e-05
_02Y6,3.5427555893406723e-05
_02Yl,4.11076623885358e-05
_02YA,3.522634506225586e-05
_02YP,3.549393187177942e-05
_02Z3,4.3272972106933594e-05
_02Zi,3.884584849117366e-05
_02Zx,4.289700434758113e-05
_02ZM,4.254841635413204e-05
_02_0,4.6930931232593675e-05
_02_f,4.265689048446527e-05
_02_u,4.412816918414572e-05
_02_J,3.8192472385086176e-05
_02_Y,2.8643904432738568e-05
_030c,3.6013212135369826e-05
_030r,3.1078824345369516e-05
_030G,4.238193317995233e-05
_030V,4.094070003878686e-05
_0319,4.98809066473269e-05
_031o,3.5460884049093936e-05
_031D,3.541599620472301e-05
_031S,4.330298883451832e-05
_0326,4.069204252909839e-05
_032l,3.528091269479671e-05
_032A,3.422917546452703e-05
_032P,3.821379060198547e-05
_0333,4.237385119422007e-05
_033i,4.816284546485314e-05
_033x,3.9409297381260596e-05
_033M,3.8578654780532375e-05
_0340,4.023110785451876e-05
_034f,4.452153256064967e-05
_034u,2.7343875072041496e-05
_034J,2.853189195905413e-05
_034Y,4.8801736924254775e-05
_035c,4.078314556338923e-05
_035r,3.029962982794251e-05
_035G,4.135675666746029e-05
_035V,6.861556066225652e-05
_0369,3.8791996564051904e-05
_036o,3.5152715795180376e-05
_036D,3.323835485121783e-05
_036S,4.3180482140902814e-05
_0376,4.436676962333813e-05
_037l,3.590698013762514e-05
_037A,4.1703383127848305e-05
_037P,4.0994315850930135e-05
_0383,2.7635679816320745e-05
_038i,4.277710153275177e-05
_038x,3.915652632713318e-05
_038M,2.4405392733487215e-05
_0390,4.672600051104012e-05
_039f,3.230115755008218e-05
_039u,3.881602324256601e-05
_039J,5.0992965698242186e-05
_039Y,4.1943936308553396e-05
_03ac,3.525740663770219e-05
_03ar,3.26901497925527e-05
_03aG,3.411305830782692e-05
_03aV,4.3612101982379784e-05
_03b9,3.8324442124904546e-05
_03bo,4.042625427246094e-05
_03bD,4.76837158203125e-05
_03bS,3.702850902781767e-05
_03c6,4.2117944284647454e-05
_03cl,4.393594306811952e-05
_03cA,4.4423237181546394e-05
_03cP,4.0444635575817475e-05
_03d3,4.31658857959812e-05
_03di,3.558964956374395e-05
_03dx,4.0580148566259095e-05
_03dM,4.1947877111513753e-05
_03e0,4.4573724797341673e-05
_03ef,3.2901763916015625e-05
_03eu,3.6930515818352245e-05
